Skills,HTML,Wireframing and Prototyping,MongoDB,Build Automation,Kubernetes,Hardware/Software Integration,Data Visualization,DevOps,User Research,Microsoft SQL Server,System Architecture Design,Azure,Virtualization VMware,Risk Management,Data Mining,Usability Testing,Security Best Practices,Cloud Architecture,Selenium,CoAP,Firewall Configuration,Cloud Native Application Development,IoT,Routing and Switching,PyTorch,Incident Response,SVN,Docker,UX Design,Git,Scalability and Performance Optimization,TCP/IP,Technical Documentation,scikit-learn,Vue.js,TensorFlow,Cassandra,ETL,Responsive Design,SQL,Performance Testing,Data Warehousing,GCP,Hadoop,Project Planning,UX/UI Design and Prototyping,MySQL,RDBMS,Computer Vision,Data Manipulation and Cleaning,Data Manipulation,UI Design,Data Modeling,Oracle,Virtualization Hyper-V,Security Auditing,Adobe XD,Cross Browser Compatibility,User Centric Design,Scrum,IT Support,Cryptocurrency development,Active Directory,Web Accessibility,System Administration,JUnit,Budgeting,Disaster Recovery Planning,Manual Testing,RESTful Architecture,Troubleshooting,React,Server Administration,Network Security,Malware Analysis,Django,Natural Language Processing,Continuous Integration/Continuous Deployment,Test-Driven Development (TDD),GraphQL,Web Development,Wireless Networking,PostgreSQL,Big Data Technologies,Android Mobile App Development,Flask,REST,Smart contracts,Integration Testing and System Testing,iOS Mobile App Development,JavaScript,AI,Machine Learning,Network Monitoring,Matplotlib,Embedded Systems,Spark,Penetration Testing,Software Design Patterns,Node.js,Sensor Integration,Kanban,VoIP (Voice over Internet Protocol),Agile Methodologies,CSS,Blockchain security,Cryptography,Flutter,Sketch,Backup and Recovery,Quality Assurance,Ethical Hacking,NoSQL,React Native,Pandas,Real-Time Systems,AWS,Angular,Responsive Web Design,Data Engineering,VPN,pytest,Memory Management and Performance Profiling,Intrusion Detection,MQTT
Authentication,0.11,0.01,0.01,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.95,0.0,0.15,0.0,0.0,0.0,0.01,0.18,0.0,0.0,0.18,0.02,0.0,0.01,0.06,0.07,0.18,0.17,0.19,0.0,0.0,0.0,0.0,0.08,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.06,0.0,0.0,0.01,0.0,0.04,0.02,0.0,0.0,0.02,0.01,0.17,0.01,0.0,0.02,0.0,0.19,0.34,0.05,0.13,0.0,0.0,0.07,0.04,0.0,0.01,0.29,0.01,0.01,0.0,0.01,0.03,0.02,0.0,0.01,0.0,0.02,0.04,0.0,0.0,0.05,0.03,0.09,0.03,0.6,0.0,0.0,0.01,0.32,0.0,0.0,0.26
Authentication / Security,0.3,0.09,0.04,0.0,0.32,0.12,0.0,0.02,0.0,0.0,0.03,0.83,0.0,0.17,0.0,0.0,0.78,0.06,0.11,0.97,0.03,0.21,0.01,0.01,0.26,0.03,0.5,0.05,0.0,0.48,0.0,0.0,0.24,0.37,0.22,0.37,0.37,0.27,0.16,0.01,0.0,0.0,0.65,0.0,0.01,0.0,0.01,0.14,0.0,0.0,0.0,0.01,0.0,0.37,0.0,0.51,0.37,0.01,0.01,0.0,0.03,0.0,0.04,0.0,0.03,0.23,0.0,0.0,0.06,0.03,0.02,0.11,0.0,0.81,0.0,0.02,0.0,0.0,0.18,0.03,0.0,0.0,0.03,0.01,0.24,0.33,0.01,0.09,0.01,0.29,0.54,0.19,0.38,0.02,0.04,0.35,0.27,0.01,0.11,0.44,0.13,0.1,0.0,0.08,0.14,0.55,0.08,0.06,0.01,0.04,0.0,0.0,0.0,0.41,0.01,0.34,0.45,0.3,0.01,0.0,0.72,0.55,0.0,0.02,0.41
Auto Updates,0.4,0.01,0.17,0.54,0.13,0.04,0.06,0.04,0.0,0.1,0.01,0.44,0.15,0.01,0.0,0.04,0.05,0.03,0.13,0.78,0.01,0.07,0.07,0.06,0.04,0.0,0.44,0.02,0.02,0.12,0.08,0.1,0.05,0.03,0.15,0.52,0.14,0.7,0.01,0.03,0.03,0.0,0.16,0.09,0.0,0.02,0.03,0.11,0.01,0.02,0.02,0.03,0.0,0.14,0.04,0.0,0.68,0.07,0.0,0.0,0.03,0.07,0.01,0.07,0.02,0.19,0.0,0.0,0.0,0.0,0.01,0.18,0.01,0.01,0.04,0.02,0.0,0.03,0.0,0.04,0.03,0.03,0.04,0.01,0.34,0.08,0.0,0.03,0.02,0.37,0.26,0.63,0.22,0.0,0.03,0.27,0.3,0.0,0.02,0.35,0.03,0.03,0.01,0.02,0.19,0.0,0.0,0.45,0.02,0.05,0.0,0.0,0.02,0.03,0.04,0.09,0.31,0.17,0.03,0.01,0.04,0.31,0.0,0.0,0.37
Autocomplete,0.27,0.02,0.02,0.39,0.05,0.02,0.0,0.0,0.01,0.0,0.0,0.45,0.01,0.0,0.0,0.08,0.03,0.0,0.04,0.86,0.0,0.07,0.01,0.03,0.02,0.01,0.13,0.01,0.01,0.11,0.13,0.02,0.01,0.02,0.03,0.28,0.24,0.19,0.01,0.0,0.04,0.0,0.07,0.01,0.0,0.04,0.01,0.01,0.0,0.0,0.0,0.07,0.0,0.06,0.0,0.0,0.26,0.08,0.02,0.0,0.01,0.01,0.0,0.42,0.01,0.02,0.0,0.0,0.0,0.0,0.01,0.04,0.0,0.01,0.0,0.02,0.05,0.01,0.0,0.01,0.12,0.0,0.0,0.01,0.28,0.1,0.02,0.01,0.0,0.28,0.35,0.22,0.32,0.0,0.0,0.04,0.23,0.0,0.0,0.16,0.0,0.02,0.01,0.01,0.08,0.0,0.0,0.12,0.0,0.04,0.04,0.0,0.0,0.03,0.05,0.02,0.36,0.22,0.14,0.0,0.04,0.08,0.0,0.0,0.47
Automated functional tests (behat),0.09,0.0,0.01,0.42,0.42,0.03,0.0,0.1,0.0,0.01,0.0,0.57,0.01,0.0,0.0,0.02,0.01,0.0,0.93,0.9,0.0,0.03,0.02,0.09,0.71,0.0,0.49,0.25,0.0,0.5,0.09,0.01,0.03,0.07,0.03,0.23,0.15,0.59,0.0,0.06,0.26,0.0,0.46,0.0,0.0,0.0,0.01,0.02,0.0,0.01,0.0,0.0,0.0,0.31,0.0,0.0,0.62,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.75,0.0,0.0,0.0,0.02,0.0,0.58,0.0,0.0,0.0,0.05,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.52,0.17,0.0,0.03,0.03,0.27,0.57,0.41,0.0,0.0,0.08,0.37,0.0,0.01,0.05,0.03,0.36,0.0,0.03,0.02,0.0,0.0,0.47,0.0,0.09,0.01,0.0,0.0,0.16,0.0,0.02,0.36,0.19,0.0,0.0,0.06,0.65,0.01,0.02,0.87
Automation,0.07,0.01,0.15,0.95,0.47,0.26,0.0,0.06,0.0,0.0,0.01,0.14,0.03,0.0,0.0,0.0,0.0,0.0,0.13,0.94,0.03,0.0,0.01,0.75,0.13,0.0,0.18,0.0,0.0,0.39,0.02,0.01,0.02,0.02,0.01,0.07,0.01,0.27,0.0,0.0,0.01,0.0,0.3,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.27,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.24,0.31,0.0,0.0,0.0,0.0,0.0,0.28,0.21,0.0,0.0,0.0,0.0,0.27,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.15,0.0,0.06,0.92,0.86,0.0,0.0,0.21,0.1,0.0,0.0,0.19,0.03,0.0,0.0,0.0,0.02,0.0,0.0,0.03,0.0,0.1,0.0,0.0,0.0,0.01,0.0,0.32,0.99,0.04,0.0,0.0,0.07,0.26,0.0,0.0,0.65
Automation for Jira,0.12,0.0,0.0,0.24,0.03,0.17,0.02,0.04,0.0,0.0,0.03,0.09,0.02,0.01,0.0,0.03,0.05,0.02,0.01,0.28,0.01,0.04,0.01,0.48,0.02,0.05,0.04,0.0,0.0,0.03,0.27,0.03,0.09,0.01,0.01,0.01,0.05,0.08,0.02,0.01,0.1,0.01,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.02,0.0,0.0,0.05,0.0,0.0,0.03,0.13,0.15,0.0,0.0,0.0,0.03,0.02,0.22,0.18,0.0,0.0,0.01,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.03,0.05,0.04,0.14,0.0,0.13,0.19,0.21,0.01,0.0,0.15,0.24,0.01,0.04,0.06,0.01,0.01,0.01,0.05,0.07,0.0,0.0,0.15,0.0,0.24,0.01,0.0,0.01,0.05,0.0,0.13,0.01,0.05,0.0,0.0,0.04,0.17,0.02,0.1,0.25
BSON,0.03,0.43,0.0,0.37,0.0,0.53,0.46,0.06,0.31,0.0,0.39,0.11,0.0,0.26,0.45,0.38,0.4,0.09,0.0,0.01,0.31,0.58,0.0,0.57,0.0,0.36,0.0,0.02,0.12,0.02,0.48,0.01,0.39,0.05,0.01,0.0,0.0,0.0,0.52,0.0,0.46,0.33,0.0,0.0,0.24,0.32,0.0,0.0,0.42,0.33,0.21,0.14,0.42,0.0,0.0,0.37,0.0,0.44,0.47,0.03,0.43,0.26,0.13,0.38,0.36,0.01,0.16,0.27,0.35,0.25,0.45,0.48,0.54,0.48,0.29,0.0,0.47,0.57,0.11,0.01,0.32,0.54,0.0,0.54,0.5,0.12,0.0,0.56,0.3,0.43,0.38,0.0,0.57,0.57,0.0,0.4,0.2,0.3,0.31,0.21,0.61,0.1,0.14,0.11,0.0,0.51,0.28,0.19,0.1,0.77,0.38,0.15,0.01,0.41,0.0,0.29,0.0,0.52,0.51,0.41,0.01,0.29,0.42,0.41,0.0
Backend / Domain Model ,0.02,0.21,0.7,0.03,0.22,0.21,0.01,0.0,0.0,0.0,0.13,0.31,0.02,0.0,0.0,0.02,0.08,0.0,0.14,0.44,0.0,0.06,0.0,0.05,0.06,0.0,0.36,0.25,0.0,0.06,0.25,0.0,0.2,0.24,0.23,0.05,0.19,0.25,0.03,0.02,0.05,0.0,0.76,0.04,0.01,0.0,0.17,0.98,0.0,0.04,0.06,0.0,0.01,0.1,0.0,0.0,0.25,0.0,0.0,0.0,0.02,0.01,0.0,0.03,0.04,0.0,0.0,0.0,0.03,0.1,0.18,0.0,0.18,0.01,0.0,0.31,0.0,0.11,0.08,0.01,0.34,0.0,0.03,0.02,0.0,0.24,0.7,0.0,0.01,0.0,0.42,0.01,0.49,0.0,0.0,0.29,0.03,0.01,0.25,0.13,0.0,0.07,0.0,0.02,0.0,0.03,0.0,0.13,0.0,0.29,0.01,0.0,0.38,0.06,0.0,0.03,0.5,0.03,0.01,0.04,0.02,0.38,0.0,0.0,0.82
Background Operations,0.31,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.84,0.0,0.0,0.0,0.01,0.01,0.0,0.1,0.03,0.0,0.08,0.0,0.02,0.01,0.19,0.2,0.47,0.2,0.06,0.0,0.06,0.0,0.0,0.15,0.01,0.0,0.0,0.01,0.61,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.23,0.0,0.0,0.06,0.0,0.0,0.02,0.91,0.0,0.0,0.0,0.42,0.01,0.07,0.0,0.02,0.02,0.01,0.0,0.0,0.35,0.0,0.14,0.0,0.01,0.43,0.0,0.0,0.66,0.19,0.96,0.0,0.0,0.03,0.15,0.09,0.0,0.01,0.41,0.0,0.0,0.09,0.31,0.0,0.0,0.22
Backlog,0.16,0.02,0.15,0.08,0.0,0.01,0.18,0.01,0.01,0.28,0.01,0.0,0.0,0.04,0.1,0.01,0.05,0.0,0.0,0.03,0.0,0.03,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.04,0.03,0.04,0.03,0.02,0.15,0.0,0.01,0.01,0.07,0.0,0.01,0.02,0.08,0.0,0.03,0.02,0.2,0.0,0.08,0.13,0.04,0.18,0.0,0.0,0.01,0.03,0.01,0.0,0.0,0.02,0.2,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.07,0.0,0.0,0.05,0.21,0.0,0.16,0.01,0.0,0.14,0.01,0.0,0.15,0.14,0.1,0.0,0.0,0.39,0.0,0.13,0.25,0.03,0.57,0.02,0.01,0.03,0.0,0.01,0.02,0.1,0.07,0.0,0.01,0.01,0.21,0.03,0.06,0.0,0.0,0.82,0.0,0.0,0.16,0.04,0.0,0.0,0.08,0.02,0.02,0.11,0.0,0.22,0.0,0.0,0.01
Backup,0.51,0.05,0.02,0.06,0.01,0.16,0.04,0.01,0.02,0.01,0.04,0.09,0.01,0.09,0.0,0.02,0.26,0.04,0.01,0.96,0.0,0.1,0.0,0.28,0.0,0.0,0.04,0.0,0.02,0.04,0.15,0.1,0.2,0.02,0.02,0.16,0.0,0.04,0.04,0.06,0.01,0.01,0.06,0.01,0.0,0.07,0.02,0.09,0.0,0.01,0.0,0.15,0.0,0.0,0.0,0.0,0.11,0.04,0.09,0.01,0.03,0.05,0.0,0.04,0.01,0.2,0.04,0.05,0.04,0.01,0.07,0.03,0.0,0.04,0.02,0.0,0.17,0.0,0.0,0.11,0.01,0.01,0.01,0.01,0.24,0.01,0.0,0.45,0.01,0.28,0.6,0.26,0.42,0.01,0.0,0.38,0.0,0.0,0.11,0.33,0.03,0.03,0.03,0.15,0.45,0.12,0.05,0.06,0.02,0.92,0.0,0.0,0.11,0.02,0.04,0.03,0.21,0.13,0.04,0.05,0.09,0.3,0.0,0.0,0.09
Backup & Restore (non-migration),0.26,0.01,0.1,0.09,0.03,0.0,0.09,0.09,0.04,0.13,0.07,0.19,0.0,0.05,0.0,0.05,0.39,0.06,0.08,0.88,0.0,0.07,0.0,0.0,0.03,0.0,0.48,0.03,0.11,0.09,0.02,0.01,0.21,0.06,0.06,0.09,0.12,0.28,0.11,0.21,0.03,0.02,0.23,0.04,0.01,0.03,0.16,0.22,0.01,0.0,0.0,0.22,0.0,0.31,0.0,0.01,0.14,0.0,0.08,0.01,0.11,0.0,0.0,0.08,0.06,0.14,0.0,0.03,0.09,0.54,0.04,0.11,0.06,0.05,0.0,0.01,0.02,0.0,0.0,0.07,0.07,0.0,0.13,0.0,0.17,0.28,0.46,0.09,0.0,0.19,0.27,0.13,0.11,0.0,0.0,0.15,0.02,0.0,0.26,0.17,0.0,0.3,0.0,0.22,0.22,0.02,0.02,0.01,0.01,0.26,0.04,0.0,0.89,0.7,0.02,0.02,0.2,0.19,0.04,0.13,0.03,0.17,0.0,0.0,0.11
Backup & Restore - Export to JIRA Server,0.34,0.01,0.27,0.29,0.27,0.2,0.08,0.23,0.07,0.09,0.05,0.39,0.18,0.14,0.03,0.17,0.27,0.22,0.2,0.33,0.0,0.12,0.12,0.09,0.14,0.01,0.19,0.25,0.03,0.21,0.15,0.09,0.26,0.13,0.11,0.05,0.28,0.18,0.25,0.22,0.09,0.28,0.25,0.28,0.02,0.02,0.15,0.17,0.17,0.17,0.04,0.15,0.03,0.35,0.02,0.03,0.33,0.07,0.18,0.03,0.23,0.01,0.11,0.3,0.12,0.19,0.0,0.06,0.03,0.26,0.17,0.22,0.15,0.24,0.11,0.25,0.06,0.14,0.03,0.06,0.11,0.03,0.09,0.19,0.17,0.15,0.37,0.06,0.03,0.2,0.42,0.26,0.26,0.06,0.01,0.21,0.3,0.01,0.15,0.24,0.01,0.19,0.02,0.21,0.26,0.12,0.07,0.26,0.02,0.57,0.14,0.0,0.35,0.37,0.21,0.18,0.3,0.26,0.13,0.22,0.06,0.24,0.0,0.0,0.19
Backup & Restore - Import From JIRA Cloud,0.33,0.03,0.06,0.33,0.19,0.22,0.13,0.19,0.08,0.02,0.07,0.26,0.09,0.15,0.03,0.17,0.24,0.18,0.08,0.33,0.0,0.17,0.16,0.08,0.07,0.03,0.09,0.1,0.03,0.17,0.17,0.07,0.27,0.12,0.04,0.01,0.17,0.13,0.29,0.15,0.14,0.21,0.12,0.04,0.02,0.09,0.01,0.02,0.11,0.12,0.04,0.15,0.03,0.2,0.01,0.02,0.14,0.05,0.19,0.01,0.21,0.01,0.02,0.33,0.08,0.1,0.0,0.03,0.02,0.14,0.18,0.21,0.07,0.21,0.01,0.1,0.01,0.12,0.01,0.02,0.12,0.01,0.0,0.2,0.18,0.13,0.19,0.08,0.07,0.2,0.34,0.29,0.26,0.04,0.0,0.13,0.21,0.02,0.18,0.17,0.01,0.1,0.02,0.17,0.13,0.07,0.03,0.2,0.06,0.44,0.14,0.0,0.33,0.17,0.06,0.17,0.15,0.18,0.07,0.2,0.05,0.33,0.0,0.0,0.16
Backup & Restore - Import From JIRA Server,0.3,0.01,0.05,0.29,0.13,0.18,0.08,0.18,0.04,0.01,0.05,0.23,0.08,0.12,0.01,0.14,0.2,0.14,0.06,0.27,0.0,0.09,0.03,0.05,0.06,0.01,0.08,0.08,0.02,0.11,0.11,0.06,0.23,0.09,0.04,0.01,0.15,0.11,0.25,0.08,0.11,0.16,0.15,0.1,0.01,0.05,0.01,0.06,0.1,0.11,0.04,0.12,0.01,0.17,0.0,0.01,0.17,0.03,0.13,0.01,0.2,0.01,0.02,0.22,0.09,0.11,0.0,0.03,0.02,0.14,0.13,0.15,0.12,0.2,0.06,0.1,0.02,0.08,0.01,0.01,0.09,0.01,0.0,0.14,0.11,0.08,0.18,0.04,0.07,0.14,0.3,0.2,0.21,0.04,0.0,0.14,0.19,0.01,0.14,0.13,0.0,0.09,0.02,0.15,0.12,0.04,0.04,0.19,0.04,0.37,0.11,0.0,0.24,0.2,0.07,0.12,0.18,0.18,0.07,0.16,0.02,0.29,0.0,0.0,0.12
Backup / Restore,0.49,0.02,0.43,0.37,0.28,0.14,0.12,0.28,0.09,0.35,0.08,0.64,0.15,0.17,0.0,0.03,0.42,0.2,0.24,0.94,0.0,0.09,0.01,0.11,0.04,0.01,0.24,0.1,0.03,0.2,0.14,0.02,0.42,0.17,0.2,0.31,0.34,0.14,0.3,0.29,0.01,0.03,0.39,0.31,0.02,0.02,0.21,0.35,0.05,0.04,0.01,0.34,0.02,0.55,0.01,0.0,0.49,0.02,0.2,0.02,0.29,0.0,0.02,0.21,0.06,0.28,0.0,0.57,0.01,0.62,0.21,0.23,0.02,0.1,0.01,0.02,0.11,0.0,0.01,0.15,0.07,0.0,0.2,0.07,0.26,0.15,0.89,0.33,0.02,0.33,0.62,0.33,0.43,0.01,0.02,0.4,0.03,0.0,0.29,0.58,0.02,0.16,0.01,0.24,0.32,0.05,0.02,0.09,0.01,0.99,0.02,0.0,0.22,0.12,0.16,0.37,0.64,0.32,0.12,0.26,0.03,0.34,0.0,0.0,0.27
Backup and Restore,0.5,0.0,0.38,0.38,0.22,0.23,0.11,0.23,0.07,0.37,0.11,0.59,0.16,0.21,0.0,0.06,0.49,0.24,0.16,0.93,0.0,0.11,0.02,0.01,0.03,0.03,0.22,0.03,0.07,0.19,0.03,0.06,0.39,0.21,0.21,0.4,0.22,0.21,0.3,0.32,0.05,0.06,0.42,0.29,0.02,0.06,0.32,0.52,0.04,0.01,0.01,0.32,0.04,0.46,0.01,0.01,0.48,0.03,0.14,0.06,0.31,0.01,0.04,0.25,0.14,0.34,0.0,0.71,0.02,0.62,0.23,0.43,0.07,0.2,0.02,0.01,0.17,0.0,0.0,0.16,0.11,0.01,0.25,0.14,0.28,0.07,0.87,0.46,0.01,0.34,0.66,0.35,0.41,0.02,0.01,0.44,0.02,0.0,0.26,0.56,0.04,0.17,0.01,0.23,0.45,0.07,0.04,0.05,0.01,0.97,0.02,0.0,0.35,0.12,0.16,0.37,0.6,0.21,0.19,0.25,0.07,0.43,0.0,0.0,0.28
Backup: IMS-CC,0.2,0.27,0.0,0.3,0.0,0.45,0.2,0.2,0.13,0.01,0.16,0.11,0.0,0.22,0.13,0.26,0.34,0.31,0.0,0.55,0.23,0.24,0.0,0.44,0.0,0.02,0.0,0.01,0.06,0.22,0.31,0.01,0.28,0.0,0.0,0.01,0.09,0.01,0.29,0.02,0.36,0.31,0.02,0.0,0.08,0.17,0.04,0.0,0.03,0.36,0.19,0.12,0.18,0.07,0.0,0.12,0.01,0.36,0.17,0.05,0.34,0.13,0.01,0.28,0.23,0.01,0.03,0.24,0.27,0.2,0.41,0.21,0.23,0.46,0.16,0.0,0.17,0.27,0.05,0.02,0.16,0.33,0.0,0.09,0.24,0.2,0.02,0.31,0.31,0.3,0.3,0.01,0.39,0.35,0.0,0.37,0.03,0.13,0.13,0.11,0.32,0.02,0.19,0.12,0.05,0.14,0.28,0.36,0.13,0.58,0.27,0.02,0.13,0.04,0.04,0.13,0.02,0.43,0.2,0.27,0.01,0.25,0.09,0.0,0.01
Badges,0.05,0.07,0.0,0.02,0.0,0.02,0.02,0.01,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.02,0.09,0.0,0.0,0.16,0.0,0.11,0.0,0.02,0.0,0.03,0.02,0.0,0.0,0.03,0.02,0.0,0.01,0.1,0.01,0.11,0.01,0.03,0.17,0.0,0.02,0.0,0.05,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.0,0.0,0.01,0.0,0.02,0.18,0.0,0.0,0.0,0.0,0.05,0.08,0.04,0.04,0.0,0.0,0.0,0.0,0.22,0.0,0.01,0.02,0.0,0.22,0.15,0.01,0.26,0.0,0.0,0.02,0.0,0.0,0.0,0.17,0.01,0.01,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.13,0.06,0.0,0.0,0.05,0.0,0.01,0.01,0.16,0.0,0.0,0.01,0.21,0.0,0.0,0.07
Bamboo Release,0.11,0.06,0.0,0.13,0.0,0.37,0.17,0.07,0.05,0.0,0.01,0.0,0.0,0.03,0.01,0.21,0.08,0.0,0.0,0.05,0.0,0.03,0.0,0.13,0.0,0.02,0.0,0.0,0.04,0.0,0.22,0.19,0.15,0.07,0.0,0.02,0.0,0.0,0.22,0.01,0.25,0.0,0.0,0.0,0.02,0.1,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.0,0.0,0.0,0.0,0.22,0.15,0.0,0.1,0.2,0.0,0.03,0.02,0.0,0.0,0.01,0.1,0.01,0.12,0.04,0.05,0.2,0.19,0.0,0.11,0.07,0.11,0.03,0.0,0.0,0.0,0.01,0.25,0.0,0.01,0.35,0.1,0.18,0.13,0.01,0.41,0.06,0.0,0.09,0.0,0.0,0.06,0.07,0.01,0.01,0.05,0.07,0.15,0.12,0.02,0.01,0.02,0.1,0.1,0.0,0.01,0.09,0.0,0.07,0.0,0.02,0.07,0.05,0.04,0.34,0.0,0.0,0.01
Bamboo Specs,0.0,0.14,0.0,0.05,0.0,0.24,0.08,0.0,0.09,0.0,0.01,0.0,0.0,0.07,0.07,0.15,0.06,0.0,0.0,0.01,0.0,0.01,0.0,0.24,0.0,0.04,0.0,0.0,0.0,0.0,0.23,0.01,0.07,0.03,0.0,0.0,0.0,0.0,0.28,0.0,0.24,0.0,0.0,0.0,0.09,0.05,0.0,0.0,0.0,0.02,0.01,0.0,0.02,0.0,0.0,0.03,0.0,0.06,0.11,0.0,0.01,0.03,0.0,0.0,0.02,0.0,0.02,0.03,0.15,0.05,0.16,0.13,0.01,0.05,0.02,0.0,0.02,0.3,0.18,0.01,0.0,0.03,0.0,0.0,0.12,0.0,0.02,0.01,0.13,0.05,0.03,0.0,0.22,0.04,0.0,0.01,0.0,0.08,0.0,0.01,0.07,0.0,0.06,0.02,0.0,0.01,0.0,0.01,0.01,0.25,0.16,0.02,0.0,0.03,0.0,0.0,0.0,0.01,0.08,0.01,0.02,0.16,0.04,0.05,0.0
Batch,0.12,0.05,0.06,0.58,0.01,0.11,0.37,0.11,0.27,0.04,0.09,0.19,0.03,0.16,0.33,0.21,0.29,0.01,0.02,0.56,0.04,0.06,0.0,0.39,0.0,0.17,0.01,0.01,0.06,0.13,0.11,0.07,0.31,0.09,0.0,0.04,0.01,0.1,0.32,0.13,0.29,0.11,0.02,0.01,0.16,0.2,0.01,0.11,0.04,0.26,0.23,0.13,0.1,0.0,0.0,0.21,0.03,0.03,0.16,0.04,0.28,0.32,0.01,0.14,0.21,0.14,0.07,0.2,0.01,0.02,0.33,0.19,0.09,0.27,0.3,0.0,0.22,0.03,0.02,0.2,0.12,0.11,0.01,0.22,0.34,0.08,0.01,0.53,0.01,0.33,0.6,0.1,0.51,0.31,0.0,0.2,0.04,0.09,0.1,0.03,0.43,0.1,0.05,0.13,0.26,0.27,0.27,0.26,0.01,0.82,0.09,0.07,0.02,0.09,0.03,0.04,0.05,0.16,0.36,0.36,0.06,0.44,0.18,0.05,0.16
Better Notifications,0.38,0.22,0.11,0.27,0.16,0.27,0.02,0.1,0.07,0.02,0.05,0.61,0.05,0.02,0.01,0.17,0.07,0.06,0.2,0.7,0.14,0.21,0.18,0.58,0.29,0.1,0.77,0.04,0.15,0.4,0.06,0.21,0.13,0.22,0.29,0.47,0.31,0.79,0.15,0.13,0.16,0.0,0.26,0.23,0.05,0.27,0.06,0.3,0.13,0.04,0.0,0.26,0.02,0.3,0.01,0.0,0.34,0.09,0.2,0.01,0.09,0.11,0.01,0.05,0.11,0.32,0.0,0.0,0.04,0.01,0.03,0.38,0.02,0.01,0.0,0.03,0.06,0.0,0.06,0.31,0.11,0.05,0.1,0.1,0.3,0.33,0.05,0.3,0.02,0.32,0.43,0.29,0.44,0.06,0.08,0.26,0.49,0.01,0.15,0.43,0.36,0.14,0.05,0.07,0.39,0.09,0.01,0.43,0.08,0.39,0.08,0.0,0.06,0.34,0.11,0.37,0.31,0.57,0.16,0.03,0.37,0.43,0.0,0.01,0.8
Bitbucket Server integration,0.48,0.16,0.0,0.37,0.18,0.25,0.11,0.22,0.02,0.0,0.14,0.18,0.13,0.12,0.0,0.3,0.18,0.12,0.09,0.41,0.0,0.02,0.01,0.19,0.07,0.16,0.24,0.13,0.08,0.29,0.3,0.13,0.24,0.04,0.11,0.02,0.25,0.3,0.44,0.04,0.21,0.01,0.13,0.0,0.16,0.09,0.0,0.0,0.05,0.04,0.02,0.12,0.01,0.12,0.01,0.01,0.11,0.0,0.07,0.0,0.21,0.01,0.0,0.24,0.04,0.16,0.0,0.01,0.06,0.18,0.16,0.29,0.04,0.13,0.0,0.04,0.0,0.41,0.08,0.03,0.14,0.01,0.0,0.06,0.0,0.15,0.11,0.03,0.22,0.0,0.46,0.19,0.24,0.04,0.0,0.32,0.41,0.07,0.21,0.15,0.0,0.09,0.01,0.19,0.29,0.03,0.01,0.31,0.16,0.29,0.15,0.0,0.06,0.24,0.02,0.16,0.05,0.24,0.11,0.21,0.03,0.45,0.02,0.06,0.17
